file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,3593.1,FastJet,Kt,N2Plain,0.4
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,3653.46,FastJet,Kt,N2Plain,0.4
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,4663.64,FastJet,Kt,N2Plain,0.4
events-ee-Z.hepmc3.gz,43.05,16,16.31565,Julia,AntiKt,N2Plain,0.2
events-ee-H.hepmc3.gz,64.97,16,31.554500000000004,Julia,AntiKt,N2Plain,0.2
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,41.51118,Julia,AntiKt,N2Plain,0.2
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,74.14349,Julia,AntiKt,N2Plain,0.2
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,102.99114,Julia,AntiKt,N2Plain,0.2
events-pp-1TeV.hepmc3.gz,226.98,16,146.32130999999998,Julia,AntiKt,N2Plain,0.2
events-pp-2TeV.hepmc3.gz,226.98,16,146.46888,Julia,AntiKt,N2Plain,0.2
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,218.31959999999998,Julia,AntiKt,N2Plain,0.2
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,350.21429000000006,Julia,AntiKt,N2Plain,0.2
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,517.5407,Julia,AntiKt,N2Plain,0.2
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,723.45655,Julia,AntiKt,N2Plain,0.2
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,841.2185499999999,Julia,AntiKt,N2Plain,0.2
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1095.00435,Julia,AntiKt,N2Plain,0.2
events-ee-Z.hepmc3.gz,43.05,16,24.88,FastJet,Kt,N2Tiled,3.0
events-ee-H.hepmc3.gz,64.97,16,41.67,FastJet,Kt,N2Tiled,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,94.42,FastJet,Kt,N2Tiled,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,153.53,FastJet,Kt,N2Tiled,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,198.38,FastJet,Kt,N2Tiled,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,258.73,FastJet,Kt,N2Tiled,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,258.86,FastJet,Kt,N2Tiled,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,363.66,FastJet,Kt,N2Tiled,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,533.58,FastJet,Kt,N2Tiled,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,720.01,FastJet,Kt,N2Tiled,3.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,992.2,FastJet,Kt,N2Tiled,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1157.98,FastJet,Kt,N2Tiled,3.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1405.54,FastJet,Kt,N2Tiled,3.0
events-ee-Z.hepmc3.gz,43.05,16,19.84,FastJet,AntiKt,N2Tiled,0.2
events-ee-H.hepmc3.gz,64.97,16,28.81,FastJet,AntiKt,N2Tiled,0.2
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,45.93,FastJet,AntiKt,N2Tiled,0.2
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,60.74,FastJet,AntiKt,N2Tiled,0.2
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,72.46,FastJet,AntiKt,N2Tiled,0.2
events-pp-1TeV.hepmc3.gz,226.98,16,84.98,FastJet,AntiKt,N2Tiled,0.2
events-pp-2TeV.hepmc3.gz,226.98,16,85.15,FastJet,AntiKt,N2Tiled,0.2
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,107.26,FastJet,AntiKt,N2Tiled,0.2
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,139.25,FastJet,AntiKt,N2Tiled,0.2
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,176.32,FastJet,AntiKt,N2Tiled,0.2
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,219.56,FastJet,AntiKt,N2Tiled,0.2
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,244.65,FastJet,AntiKt,N2Tiled,0.2
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,287.79,FastJet,AntiKt,N2Tiled,0.2
events-ee-Z.hepmc3.gz,43.05,16,20.081480000000003,Julia,AntiKt,N2Plain,0.4
events-ee-H.hepmc3.gz,64.97,16,36.05881,Julia,AntiKt,N2Plain,0.4
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,56.24048,Julia,AntiKt,N2Plain,0.4
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,101.40698,Julia,AntiKt,N2Plain,0.4
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,140.62788,Julia,AntiKt,N2Plain,0.4
events-pp-1TeV.hepmc3.gz,226.98,16,192.42957,Julia,AntiKt,N2Plain,0.4
events-pp-2TeV.hepmc3.gz,226.98,16,192.58847000000003,Julia,AntiKt,N2Plain,0.4
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,289.77868,Julia,AntiKt,N2Plain,0.4
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,445.78316,Julia,AntiKt,N2Plain,0.4
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,639.0215499999999,Julia,AntiKt,N2Plain,0.4
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,905.2383500000001,Julia,AntiKt,N2Plain,0.4
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1046.87762,Julia,AntiKt,N2Plain,0.4
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1346.8845900000001,Julia,AntiKt,N2Plain,0.4
events-ee-Z.hepmc3.gz,43.05,16,19.61,FastJet,AntiKt,N2Plain,1.5
events-ee-H.hepmc3.gz,64.97,16,33.63,FastJet,AntiKt,N2Plain,1.5
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,82.31,FastJet,AntiKt,N2Plain,1.5
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,145.34,FastJet,AntiKt,N2Plain,1.5
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,199.11,FastJet,AntiKt,N2Plain,1.5
events-pp-1TeV.hepmc3.gz,226.98,16,251.6,FastJet,AntiKt,N2Plain,1.5
events-pp-2TeV.hepmc3.gz,226.98,16,251.2,FastJet,AntiKt,N2Plain,1.5
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,383.02,FastJet,AntiKt,N2Plain,1.5
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,565.42,FastJet,AntiKt,N2Plain,1.5
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,790.18,FastJet,AntiKt,N2Plain,1.5
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1125.9,FastJet,AntiKt,N2Plain,1.5
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,1251.7,FastJet,AntiKt,N2Plain,1.5
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1572.47,FastJet,AntiKt,N2Plain,1.5
events-ee-Z.hepmc3.gz,43.05,16,24.09,FastJet,AntiKt,N2Tiled,3.0
events-ee-H.hepmc3.gz,64.97,16,39.4,FastJet,AntiKt,N2Tiled,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,83.01,FastJet,AntiKt,N2Tiled,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,132.81,FastJet,AntiKt,N2Tiled,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,171.12,FastJet,AntiKt,N2Tiled,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,218.81,FastJet,AntiKt,N2Tiled,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,218.62,FastJet,AntiKt,N2Tiled,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,307.95,FastJet,AntiKt,N2Tiled,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,446.76,FastJet,AntiKt,N2Tiled,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,601.08,FastJet,AntiKt,N2Tiled,3.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,827.08,FastJet,AntiKt,N2Tiled,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,956.34,FastJet,AntiKt,N2Tiled,3.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1159.12,FastJet,AntiKt,N2Tiled,3.0
events-ee-Z.hepmc3.gz,43.05,16,25.632440000000003,Julia,AntiKt,N2Plain,3.0
events-ee-H.hepmc3.gz,64.97,16,42.020540000000004,Julia,AntiKt,N2Plain,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,82.32006,Julia,AntiKt,N2Plain,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,135.8116,Julia,AntiKt,N2Plain,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,180.34472000000002,Julia,AntiKt,N2Plain,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,231.92469,Julia,AntiKt,N2Plain,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,231.77562,Julia,AntiKt,N2Plain,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,339.48496,Julia,AntiKt,N2Plain,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,511.75771000000003,Julia,AntiKt,N2Plain,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,716.7006299999999,Julia,AntiKt,N2Plain,3.0
