file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,123.39,FastJet,CA,N2Tiled,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,153.35,FastJet,CA,N2Tiled,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,198.97,FastJet,CA,N2Tiled,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,199.3,FastJet,CA,N2Tiled,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,264.12,FastJet,CA,N2Tiled,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,364.68,FastJet,CA,N2Tiled,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,477.81,FastJet,CA,N2Tiled,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,631.0,FastJet,CA,N2Tiled,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,709.49,FastJet,CA,N2Tiled,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,848.9,FastJet,CA,N2Tiled,1.0
events-ee-Z.hepmc3.gz,43.05,16,29.22,FastJet,AntiKt,N2Tiled,1.0
events-ee-H.hepmc3.gz,64.97,16,46.9,FastJet,AntiKt,N2Tiled,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,78.95,FastJet,AntiKt,N2Tiled,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,121.62,FastJet,AntiKt,N2Tiled,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,150.86,FastJet,AntiKt,N2Tiled,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,193.9,FastJet,AntiKt,N2Tiled,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,193.89,FastJet,AntiKt,N2Tiled,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,257.34,FastJet,AntiKt,N2Tiled,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,352.22,FastJet,AntiKt,N2Tiled,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,458.29,FastJet,AntiKt,N2Tiled,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,603.06,FastJet,AntiKt,N2Tiled,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,675.15,FastJet,AntiKt,N2Tiled,1.0
