file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R,p
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,898.69704,Julia,CA,N2Plain,1.0,0.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1138.2168000000001,Julia,CA,N2Plain,1.0,0.0
events-ee-Z.hepmc3.gz,43.05,16,14.670230000000002,Julia,CA,N2Plain,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,25.59036,Julia,CA,N2Plain,1.5,0.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,52.377359999999996,Julia,CA,N2Plain,1.5,0.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,95.89645,Julia,CA,N2Plain,1.5,0.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,131.08646000000002,Julia,CA,N2Plain,1.5,0.0
events-pp-1TeV.hepmc3.gz,226.98,16,173.51471,Julia,CA,N2Plain,1.5,0.0
events-pp-2TeV.hepmc3.gz,226.98,16,173.65398000000002,Julia,CA,N2Plain,1.5,0.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,264.12208000000004,Julia,CA,N2Plain,1.5,0.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,398.07169,Julia,CA,N2Plain,1.5,0.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,559.64507,Julia,CA,N2Plain,1.5,0.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,799.5166899999999,Julia,CA,N2Plain,1.5,0.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,906.6982499999999,Julia,CA,N2Plain,1.5,0.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1137.10226,Julia,CA,N2Plain,1.5,0.0
events-ee-Z.hepmc3.gz,43.05,16,23.95,FastJet,AntiKt,N2Plain,0.4,-1.0
events-ee-H.hepmc3.gz,64.97,16,39.97,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,271.61,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,509.42,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,708.18,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-1TeV.hepmc3.gz,226.98,16,843.07,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-2TeV.hepmc3.gz,226.98,16,842.83,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,1374.61,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,1900.2,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,2715.77,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,3716.75,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,3652.92,FastJet,AntiKt,N2Plain,0.4,-1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,4669.84,FastJet,AntiKt,N2Plain,0.4,-1.0
events-ee-Z.hepmc3.gz,43.05,16,24.054879999999997,Julia,Kt,N2Tiled,3.0,1.0
events-ee-H.hepmc3.gz,64.97,16,39.49627,Julia,Kt,N2Tiled,3.0,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,80.6321,Julia,Kt,N2Tiled,3.0,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,130.97535,Julia,Kt,N2Tiled,3.0,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,168.35727,Julia,Kt,N2Tiled,3.0,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,218.61305000000002,Julia,Kt,N2Tiled,3.0,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,219.87731,Julia,Kt,N2Tiled,3.0,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,305.94427,Julia,Kt,N2Tiled,3.0,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,447.32549,Julia,Kt,N2Tiled,3.0,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,600.88057,Julia,Kt,N2Tiled,3.0,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,828.96653,Julia,Kt,N2Tiled,3.0,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,974.5340799999999,Julia,Kt,N2Tiled,3.0,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1169.35803,Julia,Kt,N2Tiled,3.0,1.0
events-ee-Z.hepmc3.gz,43.05,16,17.27,FastJet,Kt,N2Tiled,0.4,1.0
events-ee-H.hepmc3.gz,64.97,16,27.94,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,35.93,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,53.72,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,66.85,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,88.41,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,88.72,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,113.25,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,158.36,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,201.41,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,261.79,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,294.96,FastJet,Kt,N2Tiled,0.4,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,349.76,FastJet,Kt,N2Tiled,0.4,1.0
events-ee-Z.hepmc3.gz,43.05,16,14.17691,Julia,Kt,N2Tiled,0.2,1.0
events-ee-H.hepmc3.gz,64.97,16,24.71001,Julia,Kt,N2Tiled,0.2,1.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,22.76067,Julia,Kt,N2Tiled,0.2,1.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,32.16515,Julia,Kt,N2Tiled,0.2,1.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,39.11885,Julia,Kt,N2Tiled,0.2,1.0
events-pp-1TeV.hepmc3.gz,226.98,16,55.00296,Julia,Kt,N2Tiled,0.2,1.0
events-pp-2TeV.hepmc3.gz,226.98,16,54.602120000000006,Julia,Kt,N2Tiled,0.2,1.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,67.31358,Julia,Kt,N2Tiled,0.2,1.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,95.91828,Julia,Kt,N2Tiled,0.2,1.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,119.89641999999999,Julia,Kt,N2Tiled,0.2,1.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,152.41953999999998,Julia,Kt,N2Tiled,0.2,1.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,176.8365,Julia,Kt,N2Tiled,0.2,1.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,204.0002,Julia,Kt,N2Tiled,0.2,1.0
events-ee-Z.hepmc3.gz,43.05,16,21.23,FastJet,CA,N2Plain,1.5,0.0
events-ee-H.hepmc3.gz,64.97,16,37.91,FastJet,CA,N2Plain,1.5,0.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,98.14,FastJet,CA,N2Plain,1.5,0.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,176.08,FastJet,CA,N2Plain,1.5,0.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,245.71,FastJet,CA,N2Plain,1.5,0.0
events-pp-1TeV.hepmc3.gz,226.98,16,317.28,FastJet,CA,N2Plain,1.5,0.0
events-pp-2TeV.hepmc3.gz,226.98,16,317.45,FastJet,CA,N2Plain,1.5,0.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,488.15,FastJet,CA,N2Plain,1.5,0.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,735.04,FastJet,CA,N2Plain,1.5,0.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,1033.81,FastJet,CA,N2Plain,1.5,0.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,1481.7,FastJet,CA,N2Plain,1.5,0.0
