file,mean_particles,n_samples,time_per_event,backend,algorithm,strategy,R
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,82.86708,Julia,Kt,N2Plain,0.2
events-pp-1TeV.hepmc3.gz,226.98,16,120.22041999999999,Julia,Kt,N2Plain,0.2
events-pp-2TeV.hepmc3.gz,226.98,16,119.33041999999999,Julia,Kt,N2Plain,0.2
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,191.3525,Julia,Kt,N2Plain,0.2
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,321.39375,Julia,Kt,N2Plain,0.2
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,477.41458,Julia,Kt,N2Plain,0.2
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,721.80083,Julia,Kt,N2Plain,0.2
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,856.7970799999999,Julia,Kt,N2Plain,0.2
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1096.26542,Julia,Kt,N2Plain,0.2
events-ee-Z.hepmc3.gz,43.05,16,14.1,FastJet,CA,N2Plain,2.0
events-ee-H.hepmc3.gz,64.97,16,24.92,FastJet,CA,N2Plain,2.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,55.53,FastJet,CA,N2Plain,2.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,99.29,FastJet,CA,N2Plain,2.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,137.9,FastJet,CA,N2Plain,2.0
events-pp-1TeV.hepmc3.gz,226.98,16,183.35,FastJet,CA,N2Plain,2.0
events-pp-2TeV.hepmc3.gz,226.98,16,183.25,FastJet,CA,N2Plain,2.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,280.72,FastJet,CA,N2Plain,2.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,426.91,FastJet,CA,N2Plain,2.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,604.16,FastJet,CA,N2Plain,2.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,867.02,FastJet,CA,N2Plain,2.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,982.9,FastJet,CA,N2Plain,2.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1242.29,FastJet,CA,N2Plain,2.0
events-ee-Z.hepmc3.gz,43.05,16,21.7,FastJet,CA,N2Tiled,3.0
events-ee-H.hepmc3.gz,64.97,16,36.32,FastJet,CA,N2Tiled,3.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,76.82,FastJet,CA,N2Tiled,3.0
events-pp-1TeV-5GeV.hepmc3.gz,160.36,16,123.85,FastJet,CA,N2Tiled,3.0
events-pp-2TeV-5Gev.hepmc3.gz,188.21,16,159.58,FastJet,CA,N2Tiled,3.0
events-pp-1TeV.hepmc3.gz,226.98,16,208.1,FastJet,CA,N2Tiled,3.0
events-pp-2TeV.hepmc3.gz,226.98,16,208.29,FastJet,CA,N2Tiled,3.0
events-pp-5TeV-10GeV.hepmc3.gz,284.15,16,291.11,FastJet,CA,N2Tiled,3.0
events-pp-8TeV-20GeV.hepmc3.gz,354.18,16,418.03,FastJet,CA,N2Tiled,3.0
events-pp-13TeV-20GeV.hepmc3.gz,431.18,16,559.82,FastJet,CA,N2Tiled,3.0
events-pp-20TeV-20GeV.hepmc3.gz,524.59,16,759.57,FastJet,CA,N2Tiled,3.0
events-pp-20TeV-50GeV.hepmc3.gz,553.64,16,867.8,FastJet,CA,N2Tiled,3.0
events-pp-30TeV-50GeV.hepmc3.gz,632.29,16,1048.43,FastJet,CA,N2Tiled,3.0
events-ee-Z.hepmc3.gz,43.05,16,13.98,FastJet,AntiKt,N2Plain,2.0
events-ee-H.hepmc3.gz,64.97,16,24.34,FastJet,AntiKt,N2Plain,2.0
events-pp-0.5TeV-5GeV.hepmc3.gz,112.62,16,52.5,FastJet,AntiKt,N2Plain,2.0
